name,gender,meaning
Milap,Male,union
Milind,Male,honey bee
Milit,Male,Comradship
Minal,Male,a precious stone
Misal,Male,example
Misri,Male,Mixed; Sweet
Mitali,Male,friend
Miten,Male,Male friend
Mithil,Male,kingdom
Mithilesh,Male,the king of Mithila
Mithran,Male,Sun
Mithun,Male,union Mitra = a friend
Mitrajit,Male,Friendly (one who win friends)
Mitul,Male,friend
Modak,Male,Pleasing
Moh,Male,Love
Mohajit,Male,who has conquered embarrasment
Mohak,Male,attractive
Mohal,Male,attractive
Mohan,Male,fascinating
Mohin,Male,Fascinating
Mohit,Male,spellbound
Mohnish,Male,Lord Krishna
Mohul,Male,Attractive
Monish,Male,lord of mind
Moorti,Male,an idol
Moti,Male,pearl
Motilal,Male,pearl
Moulik,Male,valuable
Mridul,Male,"tender, delicate"
Mrigaa,Male,a female deer
Mrigaj,Male,Son of the moon
Mrigalochan,Male,with eyes like that of a deer
Mrigank,Male,moon
Mrigankamouli,Male,Lord Shiva
Mrigankasekhar,Male,Lord Shiva
Mrigasya,Male,Lord Shiva
Mrigendra,Male,the lion
Mrigesh,Male,lion
Mrinaal,Male,lotus-stack
Mrinank,Male,moon
Mrinendra,Male,lion
Mritunjay,Male,who has won over death
Mudgal,Male,a saint
Mudil,Male,Moonshine
Mudit,Male,pleased
Mukesh,Male,an epithet for Shiva
Mukta,Male,means a pearl in Telugu
Muktananda,Male,liberated
Mukul,Male,a bud
Mukund,Male,name of Vishnu
Mukunda,Male,Lord Krishna
Mukut,Male,crown
Mulkraj,Male,king
Muna,Male,"wish, desire"
Muneendra,Male,best among saints
Muni,Male,Village God
Munish,Male,Lord Buddha
Muraaree,Male,another name of Lord Krishna
Murad,Male,wish
Muralee,Male,the flute
Murali,Male,a flute
Muralidhar,Male,Lord Krishna
Muralimanohar,Male,Lord Krishna
Murari,Male,Lord Krishna
Murarilal,Male,Lord Krishna
Murgesh,Male,Lord Karthikeya
Murli,Male,Flute
Murugan,Male,Lord Karthikeya
Naabhi,Male,"centre of body, an ancient King"
Naag,Male,a big serpent
Naagarjun,Male,an ancient Philosopher
Naagdhar,Male,one who wears cobra
Naagendra,Male,king of the serpents
Naagesh,Male,God of serpents (Sheshnaag)
Naagpal Nagpal,Male,saviour of serpents
Naagpati,Male,King of serpents (Vaasuki)
Naag-raaj,Male,king of the serpents
Naakesh,Male,moon
Naamdev,Male,name of a saint
Naanak,Male,first Sikh Guru
Naaraayan,Male,the refuge of man
Naarad,Male,an ancient sage
Nabendu,Male,new moon
Nabhij,Male,Lord Brahama
Nabhoj,Male,born in sky
Nabhya,Male,Lord Shiva
Nabhomani,Male,jewel of the sky (sun)
Nachik,Male,A short form of Nachiketa
Nachiket,Male,Son of Vajashravas
Nachiketa,Male,"an ancient sage, fire"
Nadeen,Male,ocean
Nadeesh,Male,God of river (ocean)
Nadish,Male,Ocean
Nagdhar,Male,one who adornes mountain
Nagendra,Male,Lord of mountains (Himalaya)
Nagesh,Male,"seshnag, cosmic serpent"
Nageshwaran,Male,Lord Snake
Naggar,Male,Lord Krishna
Nahush,Male,name of an ancient King
Naimish Nairit,Male,south-west
Naishadh,Male,Legendary king of Nishadha
Naitik,Male,one who follows correct path
Nakhraj,Male,moon
Nakshatra,Male,star
Naksatraraja,Male,King of Stars
Nakul,Male,twin brother of Sahdev
Nal,Male,an ancient king
Nalesh,Male,King of flowers
Nalin,Male,lotus
Nalinaksh,Male,lotus -eyed
Nalinikant,Male,"husband of lotus, (sun)"
Naman,Male,salutation
Namdev,Male,"poet, saint"
Namish,Male,Lord Vishnu
Namit,Male,"bowed down, modest"
Nand,Male,"pleasure, father of Krishna"
Nandak,Male,pleasing
Nandakumar,Male,Lord Krishna
Nandan,Male,son
Nandi,Male,one who pleases others
Nandin,Male,"the delightful, follower of Shiva"
Nandish,Male,Lord Shiva (Nandishwar)
Nand-kishore,Male,Lord Krishna
Nandlaal,Male,Lord Krishna
Nand-nandan,Male,Lord Krishna
Narad,Male,"Indian Saint, Devotee of Narayan"
Narahari,Male,Lord Vishnu
Narasimha,Male,"a form of Vishnu that is half man, half lion"
Narayan,Male,Lord Vishnu
Narayana,Male,Vishnu
Narayanan,Male,Title of Vishnu/Krsna
Narendra,Male,king of men
Narendranath,Male,"king of kings, emperor"
Naresh,Male,lord of man
Narhari,Male,Man-lion
Narmad,Male,bringing delight
Narottam,Male,best among men
Narsi,Male,"poet, saint"
Narsimha,Male,lion among men
Nartan,Male,dance
Nartana,Male,makes others dance
Naruna,Male,Leader of men
Natesh,Male,king
Nateshwar,Male,God of drama (Lord Shiva)
Nathan,Male,Lord Krishna
Natraj,Male,the supreme dancer
Natwar,Male,Lord Krishna
Nauhar,Male,9 Garlands
Nauka,Male,boat
Naval,Male,wonder
Navaj,Male,newly born
Navaneet,Male,who takes pleasure in new joys
Navashen,Male,the one who brings hope
Naveen,Male,new
Navin,Male,New
Navendu,Male,the moon a night after amavasya
Navinchandra,Male,same as Navendu
Navisha,Male,Lord Shiva
Navrang,Male,beautiful
Navratan,Male,nine jewels
Navtej,Male,New Light
Nawal,Male,"new, surprise"
Nawalkishor,Male,Lord Krishna
Nawar,Male,flower
Nayakan,Male,Hero
Nayan,Male,eyes
Neel,Male,blue
Neelabh,Male,"object in the sky (cloud, moon)"
Neeladri,Male,the Nilgiri hills
Neelam,Male,emerald
Neelamani,Male,blue jewel
Neelambar,Male,blue sky
Neelambuj,Male,blue lotus
Neelanchal,Male,Nilgiri hills
Neelanjan,Male,blue
Neelesh,Male,lord Krishna; moon
Neelgreev,Male,Lord Shiva
Neelkamal,Male,blue lotus
Neelkanth,Male,Lord Shiva
Neelmadhav,Male,Lord Jagannath
Neelotpal,Male,blue lotus
Neerad,Male,clouds
Neeraf,Male,river Male Islamic
Neeraj,Male,a lotus
Neerav,Male,"quiet, silent"
Nehal,Male,rainy; handsome
Nesayem,Male,flower
Nibaal,Male,arrows
Nibodh,Male,knowledge
Nidhish,Male,lord of treasure
Nigam,Male,treasure
Nihaar,Male,fog
Nihal,Male,gratified
Nikash,Male,Horizon
Niket,Male,"house, mansion"
Niketan,Male,"house, mansion"
Nikhil,Male,entire
Nikhilesh,Male,Lord of the universe
Nikunj,Male,"bower, birds nest"
Nikunja,Male,Enchanting
Nilabh,Male,Moon
Nilay,Male,"home, mansion"
Nilesh,Male,"Krishna, blue god"
Nimai,Male,Chaitanya
Nimish,Male,spilt-second
Ninad,Male,sound
Nipun,Male,exper Niraamay = pure
Nirad,Male,given by water
Niraj,Male,"born from water (lotus flower, pearl)"
Nirajit,Male,illuminated
Niramay,Male,without blemish
Niramitra,Male,son of pandava Sahadeva
Niranjan,Male,the night of the full moon
Nirankar,Male,with no shape (God)
Nirav,Male,without sound
Nirbhay,Male,fearless
Nirbhik,Male,Fearless
Nirdhar,Male,one who holds water (cloud)
Nirek,Male,Superior
Nirijhar,Male,waterful
Niriksh,Male,observer
Nirish,Male,"free, without any owner"
Nirmal,Male,"pure, clear"
Nirmay,Male,Pure
Nirmit,Male,created
Nirmohi,Male,unattached
Nirupam,Male,without comparison
Nirvan,Male,liberation
Nishad,Male,seventh note of the octave
Nishikar,Male,moon (Lord of night)
Nishikant,Male,husband of night (moon)
Nishanath,Male,moon
Nishant,Male,dawn
Nishar,Male,warm cloth
Nishat,Male,A tree
Nishchal,Male,"unmovable, unshakable"
Nishesh,Male,Moon
Nishikaant,Male,the moon
Nishil,Male,Night
Nishinath,Male,"Lord of night (moon) (Nishipati, Nishipal)"
Nishith,Male,night
Nishkarsh,Male,Result
Nishok,Male,happy
Nissim,Male,unbounded
Nisyaanthan,Male,Evening
Niteesh,Male,lord of law
Nitin,Male,master of the right path
Nitish,Male,Lord of correct path
Nityagopal,Male,constant
Nityananda,Male,Lord Krishna; always happy
Nityanta,Male,Lord Vishnu
Nitya-Sundara,Male,good-looking
Nivedh,Male,offering to God
Nivrutti,Male,separation from world
Nridev,Male,King amongst men
Nrip,Male,King
Nripendra,Male,king of kings
Nripesh,Male,king of kings
Nrupadh,Male,Feet of a King
Obalesh,Male,Lord Shiva
Ohas,Male,Praise
Ojal,Male,bright
Ojas,Male,lustre
Ojayit,Male,Courageous
Om,Male,sacred syllable used in Hindu prayer
Oma,Male,Life giver
Omanand,Male,joy of Om
Omar,Male,an era
Omesa,Male,Lord of OM
Omesh,Male,Lord of the Om
Omeshwar,Male,Lord of the Om
Omkar,Male,mystic name for Hindu Gods
Omkarnath,Male,"lord of Omkaar, Shiva"
Ompati,Male,Master of OM
Omprakash,Male,light of Om
Omswaroop,Male,manifestation of divinity
Oni,Male,"shelter, cover"
Oojam,Male,enthusiasm
Oorjit,Male,powerful
Orion,Male,Son of Fire
Paandu,Male,father of the Pandavas
Paandurang,Male,a diety
Paaninee,Male,a Sanskrit grammarian
Paarbrahm,Male,the supreme spirit
Paarth,Male,another name of Arjuna
Paarthiv,Male,earthly
Paavak,Male,pure
Paavan,Male,"pure, sacred"
Padam,Male,Lotus
Padm,Male,lotus
Padmabandhu,Male,"friend of lotus (bee, sun)"
Padmadhar,Male,one who holds a lotus
Padmahasta,Male,Lotus-Handed. Lord Krishan
Padmaj,Male,Lord Brahama
Padmakar,Male,"jewel, Lord Vishnu"
Padmakant,Male,husband of lotus (sun)
Padmal,Male,lotus
Padmalochan,Male,lotus eyed
Padman,Male,lotus
Padmanabha,Male,Lord Vishnu
Padmapani,Male,Lord Bramha
Padmapati,Male,Lord Vishnu
Padmayani,Male,Lord Brahama; Buddha
Padmesh,Male,Lord Vishnu
Padminish,Male,Lord of lotuses; Sun
Pahal,Male,"facet, beginning initiative"
Pakhi,Male,bird
Paksha,Male,Symbolising the Phases of moon.
Pakshi,Male,bird
Palak,Male,eyelid
Palash,Male,Tree
Palashranjan,Male,beautiful like a palash
Palin,Male,Protecting
Pallab,Male,new leaves
Pallav,Male,Young shoots and leaves
Panav,Male,Prince
Panchaanan,Male,"five-eyed, name of Shiva"
Panchal,Male,Lord Shiva
Panchavaktra,Male,"Five Faced, Lord Hanuman"
Pandhari,Male,Lord Vithobha
Pandita,Male,scholar
Panduranga,Male,with pale white complexion
Pandya,Male,South Indian dynasty
Pankaj,Male,"mud born, lotus"
Pankajalochana,Male,Lotus Eyed. Lord Krishna
Pankajan,Male,Lotus; Lord Vishnu
Pankajeet,Male,eagle (Garuda)
Panna,Male,emerald
Pannalal,Male,emerald
Pann-gesh,Male,king of serpents
Panshul,Male,Lord Shiva
Paraag,Male,"pollen, sandal wood"
Paraashar,Male,a celebrated saint
Parakram,Male,strength
Param,Male,"perfect, ultimate"
Paramananda,Male,supreme bliss
Paramartha,Male,Highest truth
Paramesh,Male,"the supreme lord, Vishnu / Shiva"
Parameshwar,Male,the supreme God
Param-hans,Male,the supreme spirit
Paramjeet,Male,Highest success
Paramjit,Male,Heroic Paranjay Varun
Paranjay,Male,Lord of the sea
Parantapa,Male,conqueror; Arjuna
Paras,Male,stone that turns Iron to Gold
Parashar,Male,A renowned saint
Parashuraam,Male,"brave, an ancient sage"
Parasme,Male,"Most Superior, Lord Rama"
Paratpara,Male,Greatest of the Greats
Paravasu,Male,name of a sage
Parees,Male,touch stone
Paresh,Male,supreme spirit
Paresha,Male,Lord of the Lords. A Name for Lord Rama
Parighosh,Male,loud sound
Parijat,Male,a celestial flower
Pariket,Male,against desire
Parikshit,Male,an ancient king
Parimal,Male,perfume
Parindra,Male,Lion
Paritosh,Male,satisfaction
Parish,Male,angelic
Parmaarth,Male,"highest truth, salvation"
Parmeet,Male,Wisdom
Parmesh,Male,Lord Vishnu
Parnad,Male,a Brahmin in the epics
Parnal,Male,leafy
Parnik,Male,creeper
Parth,Male,King; Arjun
Partha,Male,Arjun
Parthapratim,Male,like Arjuna
Parthasarathi,Male,charioteer of Partha (Lord Krishna)
Parthiv,Male,Prince of Earth
Parvat,Male,mountain
Parvateshwar,Male,"God of mountains, Himalaya"
Parvatinandan,Male,"son of Parvati, Lord Ganesh"
Parvesh,Male,lord of celebration
Pashunath,Male,"Lord of animals, Lord Shiva"
Pashupati,Male,"lord of animals, Lord Shiva"
Patag,Male,Sun
Patakin,Male,holder of a banner
Pathik,Male,traveller
Pathin,Male,traveller
Patoj,Male,Lotus
Patr,Male,Defender
Paurav,Male,a descendent of King Puru
Pavak,Male,fire
Pavan,Male,wind
Pavanaj,Male,Lord Hanuman
Pavankumar,Male,"Bhim, Hanuman (son of the wind)"
Pavansut Pavanputra,Male,"son of wind (Bhim, Hanuman)"
Pavitra,Male,Pure
Payas,Male,water
Payod,Male,cloud
Peetambar,Male,yellow robed
Peeyush,Male,nectar
Pehlaj,Male,First born
Piki,Male,cuckoo
Pinak,Male,Bow of Lord Shiva
Pingal,Male,a reputed sage
Pinakin,Male,Lord Shiva
Pitambar,Male,Lord Vishnu Pival = a tree
Piyali,Male,a tree
Piyush,Male,Milk
Poonish,Male,Lord of the pious
Pooran,Male,complete
Poornachandra,Male,full moon
Poornanand,Male,complete joy
Poorv,Male,the east
Poorvaj,Male,"elder, ancestors"
Poudhan,Male,Lord Bahubali's capital
Prabal,Male,"very strong, mighty"
Prabhakar,Male,the sun
Prabhanjan,Male,dust storm
Prabhas,Male,lustrous
Prabhat,Male,dawn
Prabhav,Male,"power, might"
Prabhave,Male,Popular Lord. Lord Hanuman
Prabhu,Male,God
Prabuddha,Male,knowledgeable
Prabir,Male,"Hero, brave one (Praveer)"
Prabodh,Male,"waking, vigilance"
Prabodhan,Male,Knowledge
Prachet,Male,Lord Varun
Pracheta,Male,"Varun, wise"
Prachur,Male,abundant
Pradarsh,Male,"appearance, order"
Pradeep,Male,lamp
Pradhi,Male,Intelligent
Pradnesh,Male,Lord of wisdom
Pradosh,Male,twilight
Pradyot,Male,to illuminate
Pradyumna,Male,God of love
Pradyun,Male,radiant
Praful,Male,blooming
Prafulla,Male,"Pleasant, cheerful"
Pragdeesh,Male,one who will progress
Pragnay,Male,"Lord Ganesh, one with fame"
Pragnya,Male,Scholar. Lord Hanuman
Pragun,Male,straight; honest
Prayan,Male,supreme intelligence
Prahalad,Male,Bliss
Prahlad,Male,Excess of joy
Prahallad,Male,Son of Hiranyakasipa
Prajapati,Male,"king, Bramha"
Prajeet,Male,Victorious
Prajesh,Male,Lord Brahma
Prajin,Male,kind
Prajit,Male,kind
Prajval,Male,Brightness
Prajvala,Male,Flame
Prakash,Male,light
Prakat,Male,manifest
Praket,Male,Intelligence
Prakhar,Male,"""Shape, Summit"""
Prakrit,Male,Nature; Handsome
Prakul,Male,Good-looking
Pramath,Male,Horse
Pramesh,Male,Master of accurate knowledge
Pramit,Male,Consciousness
Pramod,Male,delight
Pramodan,Male,Lord Vishnu
Pramsu,Male,A scholar
Pramukh,Male,Main
Pran,Male,"vital breath, life"
Prana,Male,Spirit
Pranad,Male,Lord Vishnu; Lord Brahma
Pranav,Male,the sacred syllable Om
Pranava,Male,"Om, a sacred mantra"
Pranay,Male,"love, friendship"
Praneel,Male,A Name for Lord Shiva
Pranesh,Male,Lord of life
Pranet,Male,Leader
Praney,Male,obedient
Pranit,Male,modest
Pranjal,Male,"simple, straightforward"
Pranjivan,Male,breath of life
Prankit,Male,center of attraction
Prannath,Male,"Lord of life, husband"
Pranshu,Male,"tall, Lord Vishnu"
Pransu,Male,"""High, Tall"""
Pransukh,Male,joy of life
Prasad,Male,propitiary offering or boon
Prasanna,Male,happy
Prasata,Male,Father of Draupad
Prasenjit,Male,a king in the epics
Prasham,Male,peace
Prashansa,Male,praise
Prashant,Male,very calm
Prashray,Male,"Love, Respect"
Prasoon,Male,Flower
Prasuk,Male,"pure, from Jain literature"
Pratap,Male,"glory, vigour"
Prateep,Male,opposite
Prateesh,Male,brave
Prateet,Male,manifested
Pratham,Male,first
Prathamesh,Male,Lord Ganesh
Pratik,Male,symbol
Pratosh,Male,delight
Pratul,Male,a balanced person
Pratyush,Male,"sun Praval = fierce, strong"
Pravan,Male,"bowed down, modest"
Pravar,Male,most excellent
Praveen,Male,"expert, skilled"
Praveer,Male,"an excellent warrior, king"
Pravin,Male,Expert; Skilled
Pravir,Male,brave
Pravit,Male,Hero
Prayaag,Male,"place of sacrifice, Allahabad"
Preetam,Male,lover
Preetidutt,Male,gifted with love
Preetish,Male,God of love
Preetiwardhan,Male,one who increases love
Prem,Male,love
Premal,Male,Full of love
Premanand,Male,Joy of love
Premendra,Male,lover
Prerit,Male,the Inspired One
Pretvan,Male,Moving along
Pribhakta,Male,Favourite of the Devotees. A Name for Lord Shiva
Prina,Male,Pleased
Prineet,Male,"""Content, Satisfied"""
Prinita,Male,Pleased
Pritam,Male,Lover
Pritesh,Male,Lord of love
Prithish,Male,Lord of the world
Prithu,Male,broad
Prithvee,Male,the earth
Prithvi,Male,Earth
Prithviraj,Male,king of the earth
Pritish,Male,lord of love
Privrata,Male,son of Satarupa
Priyaank,Male,very dear husband
Priyadarshan,Male,"nice to look at, handsome"
Priyadarshi,Male,one who is liked by all
Priyaka,Male,"""Loving, Deer"""
Priyal,Male,Loving
Priyanesh,Male,Love like god
Priyanvad,Male,sweet talking person
Priyaranjan,Male,Beloved
Priyesh,Male,Loved by god
Pruthivi,Male,Earth
Pujan,Male,the ceremony of worshiping
Pukhraj,Male,topaz
Pulak,Male,"ecstacy, rapture"
Pulakesh,Male,joyous
Pulin,Male,sandy river bank
Pulkit,Male,Happy; Thrilled; Overjoyed
Pundalik,Male,lotus
Puneet,Male,pure
Punit,Male,Holy
Purahan,Male,Lord Shiva
Purajit,Male,Lord Shiva
Puran,Male,Complete
Purandar,Male,Lord Indra
Puranjay,Male,Lord Shiva
Purav,Male,Chanting voice from east at sunrise
Purnanada,Male,God
Purnendu,Male,full moon
Purohit,Male,A Brahmin Priest
Purshottam,Male,Lord Vishnu
Puru,Male,a legendary King
Purujit,Male,Conqueror of city
Purumitra,Male,Friend of city
Pururava,Male,the founder of Chandra dynasty
Purushottam,Male,best among men
Pusan,Male,a sage
Pushkal,Male,Lord Shiva
Pushkar,Male,a blue lotus
Pushp,Male,flower
Pushpad,Male,who who gives flowers
Pushpak,Male,mythical vehicle of Lord Vishnu
Pushpakar,Male,"the spring season (Vasant), flower season"
Pushpaketu,Male,"Kamdev, cupid"
Pushpaj,Male,born from a flower
Pushpendra,Male,Lord of flowers
Pushpesh,Male,Lord of flowers
Pushp-mitra,Male,an ancient ruler
Puskara,Male,"Blue lotus, fountain"
Pyarelal,Male,Lord Krishna
Pyaremohan,Male,Lord Krishna
Raahi,Male,Traveller
Raajaa,Male,king
Raajeev,Male,"blue lotus, one who rules all"
Raajeevalochan,Male,who has blue lotus eyes
Raajyashree,Male,propriety of a king
Raakaa,Male,day of the full moon
Raakesh,Male,lord of the night
Raam,Male,"Lord Rama, God, supreme spirit"
Raamaanuj,Male,younger brother of Rama
Raamdatt,Male,gift of Rama
Rachit,Male,"Invention, written"
Radhakanta,Male,Lord Krishna
Radhakrishna,Male,Radha and Lord Krishna
Radhavallabh,Male,Lord Krishna
Radhesh,Male,"Lord of Radha, Krishna"
Radheshyam,Male,Lord Krishna
Radheya,Male,"Karna, foster son of Radha"
Radhiyaa,Male,content; satisfied
Raghav,Male,Lord Rama
Raghavendra,Male,Lord Rama
Raghbir,Male,Brave Lord Rama
Raghu,Male,an ancient king of Avadh
Raghukumara,Male,Lord Ram
Raghunandan,Male,Lord Rama
Raghunath,Male,Lord Rama
Raghupati,Male,Lord Rama
Raghuvir,Male,Lord Rama
Rahas,Male,"merriment, delight"
Rahul,Male,"Conqueror of miseries, Buddha's Son"
Raivata,Male,a Manu
Raj,Male,"royalty, kingdom, King"
Raja,Male,King-Queen
Rajan,Male,king
Rajaneesh Rajnish,Male,God of night (moon)
Rajani,Male,night
Rajanikant,Male,"sun, lord of night"
Rajas,Male,arising from passion
Rajat,Male,silver
Rajata,Male,sovereignty
Rajatanabhi,Male,Very Rich. Lord Vishnu
Rajatshubhra,Male,white as silver
Rajdeep,Male,Light of Kings
Rajeev,Male,blue lotus
Rajeevalochana,Male,"Lotus eyed, Lord Rama"
Rajendra,Male,King
Rajendrakumar,Male,King
Rajendramohan,Male,King
Rajesh,Male,King
Rajhans,Male,celestial swan
Rajit,Male,decorated
Rajiv,Male,lotus flower
Rajkumar,Male,prince
Rajrishi,Male,King's sage
Raju,Male,Prosperity
Rajul,Male,brilliant
Rajyeshwar,Male,king
Rakesh,Male,"lord of the night, sun"
Rakshan,Male,"Lord Vishnu, Protect"
Raktakamal,Male,a red lotus
Ram,Male,Lord Rama
Ramadeep,Male,Lord Rama
Ramadhuta,Male,Ambassador of Rama
Ramakaant,Male,Lord Vishnu
Ramakanta,Male,Beloved of Ram
Ramakrishna,Male,Rama & Krishna
Raman,Male,pleasing
Ramanuj,Male,Lord Krishna; Lord Laxman
Ramanuja,Male,Born after Rama i.e. Lakshman
Ramashray,Male,Lord Vishnu
Ramavatar,Male,reincarnation of Lord Rama
Ramchandra,Male,Lord Rama
Ramdas,Male,devotee (a servant) of Rama
Ramesh,Male,"Lord of Ramadevi, Vishnu"
Rameshwar,Male,Lord of Rama
Ramgopal,Male,Ram and Gopal(Krishna)
Ramkishore,Male,Lord Rama
Ramkrishna,Male,"Lord Rama, Krishna"
Ramkumar,Male,Lord Rama
Rammohan,Male,Lord Rama
Ramnath,Male,Lord Rama
Ramprasad,Male,Lord Ramais offering
Rampratap,Male,Lord Rama's fame
Ramoji,Male,Lord Rama
Ramra,Male,splendour
Ramratan,Male,Lord Rama
Ramswaroop,Male,Like Lord Rama
Rana,Male,"Joy, Jewel, to gaze, Look"
Ranadeva,Male,Lord of Battles
Ranajay,Male,victorious
Ranajit,Male,victorious
Ranak,Male,King
Rand,Male,tree of good scent
Randhir,Male,brave in battle field
Ranesh,Male,Lord Shiva
Rangana,Male,"to be coloured, dyed or painted"
Ranganath,Male,Lord Vishnu
Ranjan,Male,delighting
Ranjay,Male,Victor in war
Ranjit,Male,Victor
Ranjiv,Male,Victorious
Rantidev,Male,devotee of Narayana
Ranveer,Male,hero of the battle
Ras,Male,"Juice, Sentiments, emotion"
Rasaraj,Male,"A good actor, dancer"
Rasbihari,Male,Lord Krishna
Rasesh,Male,Lord Krishna
Rashmi,Male,Sun rays
Rasik,Male,"full of feeling, passion"
Rasmaru,Male,Lord Krishna
Rasna,Male,"tongue, speech"
Ratan,Male,precious stone
Ratannabha,Male,Lord Vishnu
Ratash,Male,the King
Rathin,Male,warrior who fights from a chariot
Ratish,Male,"Kamadev, cupid"
Ratnabhu,Male,Lord Vishnu
Ratnakar,Male,the ocean
Ratnanidhi,Male,Lord Vishnu
Ratnesh,Male,God of jewels (Kuber)
Ratul,Male,"""Truth seeking, Interested"""
Raveendra,Male,the Sun lord
Raven,Male,A Bird
Ravi,Male,the sun
Ravikeerti,Male,whose fame is like sun
Ravikiran,Male,sun ray
Ravinandan,Male,"Karna, son of Sun"
Ravindra,Male,sun
Ravinshu,Male,Kamdev ( Cupid )
Ravish,Male,Sun
Ravisharan,Male,Surrender
Ravishu,Male,cupid
Ravit,Male,Sun
Ray,Male,Beam of light
Rayirth,Male,Lord Brahma
Rebanta,Male,a son of surya
Renaud,Male,Wise and powerful
Renesh,Male,Lord of love
Resham,Male,silk
Revanth,Male,horse rider
Richan,Male,"shloka, mantra"
Riddhiman,Male,possessed of good fortune
Rigved,Male,one of the Vedas
Riju,Male,innocent
Rijul,Male,innocent
Rimon,Male,Name of a fruit (Anaar)
Ripu,Male,Enemy
Ripudaman,Male,killer of enemies
Rishab,Male,Shiva's vehicle Bull
Rishabh,Male,"Superior, a musical note"
Rishi,Male,"a saint, sage"
Rishik,Male,Lord Shiva
Rishikesh,Male,"Lord of the senses, Vishnu"
Rishit,Male,the best
Rishvanjas,Male,Lord Indra
Ritesh,Male,Lord of truth
Rithik,Male,Stream
Riti,Male,Motion
Rituraaj,Male,king of seasons
Ritvik,Male,priest
Rochak,Male,tasty
Rochan,Male,bright
Rohak,Male,Rising
Rohan,Male,one who takes the higher path
Rohanlal,Male,Lord Krishna
Rohin,Male,Lord Vishnu
Rohiniraman,Male,the enchanted Lord
Rohinish,Male,Moon
Rohit,Male,red
Rohitasva,Male,son of King Harishchandra
Rohtak,Male,Sun
Romila,Male,heartfelt
Romir,Male,Interesting
Ronak,Male,"brightness, radiance"
Ronit,Male,"bright, shining"
Roopak,Male,dramatic composition
Roopesh,Male,"lord of beauty, handsome"
Ronsher,Male,Lion of the Battlefield
Roshan,Male,illumination
Ruchir,Male,"radiant, beautiful"
Rudr,Male,"fearsome, name of Lord Shiva"
Rudra,Male,"angry, Lord Shiva"
Rudrapriya,Male,Beloved of Shiva
Ruhan,Male,Spiritual
Rujul,Male,"simple, honest"
Rukm,Male,gold
Rukminesh,Male,Lord Krishna
Rupak,Male,"sign, feature"
Rupang,Male,Beautiful
Rupendra,Male,Lord of the form
Rupesh,Male,"lord of beauty, handsome"
Rupeshwar,Male,Lord of of beauty
Rupin,Male,embodied beauty
Rushabh,Male,Decoration
Rusham,Male,peaceful
Rusheek,Male,son of saint
Rushil,Male,charming
Rustam,Male,"Large, Very tall"
Rutajit,Male,conquerer of truth
Rutesh,Male,Kind of Seasons
Rutva,Male,Speech
Rwiju,Male,"Straight, tall, erect"
Saagar,Male,ocean
Saakaar,Male,Manifestation of god
Saanjh,Male,Evening
Saaras,Male,swan
Saatatya,Male,Never ending
Saatvik,Male,Pious
Sabal,Male,with strength
Sabhya,Male,civilized
Sabyasachi,Male,another name of Arjuna
Sabrang,Male,Rainbow
Sachh,Male,the Truth
Sacchidananda,Male,total bliss
Sachchit,Male,Lord Brahma
Sachet,Male,consciosness
Sachetan,Male,Rational
Sachin,Male,Lord Shiva
Sachish,Male,Lord Indra
Sachit,Male,joyful
Sachiv,Male,Friend
Sadabindu,Male,Lord Vishnu
Sadanand,Male,Ever joyous
Sadar,Male,Respectful
Sadashiv,Male,Pure
Sadashiva,Male,eternally pure
Sadavir,Male,Ever courageous
Sadeepan,Male,lit up
Sadgun,Male,Virtues
Sadhan,Male,fulfulment
Sadhil,Male,Perfect
Sadiva,Male,Eternal
Sadru,Male,Lord Vishnu
Safal,Male,Succeed
Saffar,Male,Coppersmith
Sagan,Male,Lord Shiva
Sagar,Male,"Sea, ocean"
Sagardutt,Male,gift of ocean
Sagun,Male,"auspicious gift, omen"
Saguna,Male,having good qualities
Sahaj,Male,Easy
Sahar,Male,Sun; Dawn
Sahara,Male,"shelter, helpful"
Saharsh,Male,with joy
Sahas,Male,Brave
Sahasrad,Male,Lord Shiva
Sahastrabahu,Male,one with thousand arms
Sahastrajit,Male,victor of thousands
Sahasya,Male,"Mighty, courageous"
Sahat,Male,Stong
Sahaya,Male,"Lord Shiva, Helpful"
Sahadev,Male,one of the 5 Pandava princes
Sahen,Male,falcon
Sahib,Male,the lord
Sahil,Male,"Leader, Ruler, Guide"
Sahishnu,Male,Lord Vishnu
Sai,Male,Flower
SaiAmartya,Male,Immortal Sai Baba
Saicharan,Male,Sai's feet
SaiDeep,Male,"A Name for Sai, Sai's light"
SaiJeevadhara,Male,Support of All Living Beings
SaiKalakala,Male,"Lord of Eternity, Shirdi Sai Baba"
SaiKalateeta,Male,Beyond Time Limitations
Saikiran,Male,"A Name for Sai Baba, Sai's light"
Sailadev,Male,Lord Shiva
Sainath,Male,God
Saiprasad,Male,blessing or gift of Sai
Saipratap,Male,blessing of saibaba
Sai Satpurusha,Male,"Virtuous, Pious, Venerable One."
Sajal,Male,moist
Sajan,Male,beloved
Sajiv,Male,Lively
Sajiva,Male,Full of life
Sajjan,Male,of virtues
Saju,Male,Travelling
Sakaleshwar,Male,Lord of everything
Sakash,Male,Illumination
Saket,Male,Lord Krishna
Saketharaman,Male,A Name for Lord Rama
Saksham,Male,for whom anything is possible
Sakshum,Male,Skillful
Salarjung,Male,leader in war
