name,gender,meaning
Anjuman,Male,a garden
Ankal,Male,whole
Ankit,Male,the chosen one
Ankur,Male,new life
Ankush,Male,restraint
Anmol,Male,priceless
Annuabhuj,Male,Lord Shiva
Anoop,Male,incomparable
Anram,Male,Continuous
Ansh,Male,Portion
Anshu,Male,ray of light
Anshuk,Male,radiant
Anshul,Male,radiant
Anshumaan,Male,the sun
Anshumat,Male,luminous
Antara,Male,Paragraph
Antariksh,Male,space
Antim,Male,Last
Anubhav,Male,experience
Anuj,Male,younger brother
Anunay,Male,supplication; consolation
Anupam,Male,incomparable
Anuraag,Male,love
Anurup Anuroop,Male,handsome
Anuttam,Male,unsurpassed
Anuva,Male,knowledge
Appu,Male,"little one, cute baby"
Apoorva,Male,"exquisite, rare"
Aprameya,Male,A Name of Lord Krishna
Aradhya,Male,Worshipped
Aranab,Male,ocean
Arav,Male,peaceful
Arha,Male,Lord Shiva
Archan,Male,worship
Archit,Male,worshipped
Ardhendu,Male,half moon
Areehah,Male,destroyer of enemies
Arhat,Male,respectable
Arihaan,Male,Destroyer of demons / rakshas
Arihant,Male,destroyer of enemies
Arij,Male,pleasant smell
Arindam,Male,destroyer of enemies
Arja,Male,Divine
Arjit,Male,earned
Arjun,Male,one of the 5 Pandavas
Arka,Male,offering to the sun
Arman,Male,Wish
Arnav,Male,"ocean, sea"
Arnesh,Male,lord of the sea
Arpan,Male,Offering
Arshad,Male,Heavenly
Artagnan,Male,The Knower of all Meanings
Arul,Male,"blessing, Tamil name"
Arun,Male,Sun God
Arunachaleshwara,Male,"Lord of the Hills, Sun"
Arvind,Male,lotus
Arya,Male,"civilised, noble"
Aryaman,Male,The sun
Aryan,Male,Noble or civilized
Asav,Male,essence
Aseelah,Male,from noble family
Aseem,Male,limitless
Ashank,Male,Faith
Ashcharya,Male,surprise
Asheem,Male,Boundless
Ashesh,Male,benediction
Ashirvad,Male,Blessing
Ashish,Male,blessings
Ashit,Male,Lord of the Rings - Saturn
Ashok,Male,without sorrow
Ashray,Male,Shelter
Ashrith,Male,Dependable
Ashutosh,Male,Lord Shiva
Ashvath,Male,Strong
Ashwaghosh,Male,name of a Buddhist philosopher
Ashwathama,Male,a disciple of Dronacharya
Ashwin,Male,Hindu month
Asit,Male,not white
Asitvaran,Male,dark complexioned
Asiya,Male,one who tends to the weak and heals
Asuman,Male,lord of vital breaths
Atal,Male,immoveable
Atambhu,Male,The Holy trinity
Atanu,Male,cupid
Ateet,Male,past
Atharvan,Male,knower of the Artharva vedas
Atiksh,Male,Wise
Atithi,Male,guest
Atma,Male,soul
Atmajyoti,Male,light of soul
Atman,Male,the self
Atmananda,Male,blissful soul
Atraiu,Male,Great Warrior
Atul,Male,matchless
Atulya,Male,unequalled
Avadhesh,Male,King Dasaratha
Avalok,Male,who beholds
Avaneesh,Male,master of the earth
Avanindra,Male,King of the earth
Avashesh,Male,Remainder
Avasyu,Male,Lord Indra
Avatar,Male,incarnation
Avi,Male,The sun and air
Avichal,Male,unmovable
Avijit,Male,Invincible
Avikam,Male,Diamond
Avilash,Male,Faithful
Avinash,Male,indestructible
Avinashi,Male,indestructable
Avirat,Male,Continuous
Avkash,Male,limitless space
Avtar,Male,Holy incarnation
Avyukt Avyukta,Male,"One with a clear mind, Krishna"
Ayog,Male,auspicious time
Ayudh,Male,weapon
Ayush,Male,Long Lived
Baadal,Male,cloud
Baalaark,Male,the rising sun
Baalkrishan,Male,young Krishna
Baanbhatt,Male,name of an ancient poet
Baanke Bihaari,Male,name of Krishna
Baasima,Male,smiling
Babala,Male,Above
Badri,Male,Lord Vishnu
Badrinath,Male,Lord Vishnu
Badriprasad,Male,goft of Badri
Bahubali,Male,a Jain tirthankar
Bahula,Male,a star
Bahuleya,Male,Lord Kartikeya
Baibhav,Male,prosperity
Bajrang,Male,Lord Hanuman's name
Bakool,Male,Flower
Bakul,Male,a kind of tree
Bakula,Male,a kind of flower
Balaaditya,Male,young sun
Balachandra,Male,young moon
Balagopal,Male,infant Krishna
Balagovind,Male,infant Krishna
Balaji,Male,Lord Vishnu
Balakrishna,Male,young krishna
Balamani,Male,young jewel
Balamohan,Male,one who is attractive
Balaraj,Male,strong
Balaram,Male,brother of Lord Krishna
Balashankar,Male,young Lord Shiva
Balavan,Male,powerful
Balbhadra,Male,brother of Krishna
Balbir,Male,strong
Baldev,Male,strong
Balendu,Male,young moon
Balmukund,Male,young krishna
Bali,Male,brave
Balraj,Male,"mighty, powerful"
Balram,Male,brother of Lord Krishna
Balvant,Male,of immense strength
Balveer,Male,powerful ( Balbeer )
Balvindra,Male,strong
Banaj,Male,Lotus Banbihari = Lord Krishna
Bandhu,Male,friend
Bandhul,Male,pleasing
Bandhula,Male,charming
Baneet,Male,Polite
Banke,Male,Lord Krishna
Bankebihari,Male,Lord Krishna
Bankim,Male,not straight
Bankimchandra,Male,crescent moon
Banshi,Male,flute
Banshidhar,Male,Krishna
Bansilal,Male,Lord Krishna
Banwari,Male,Lord Krishna
Barid,Male,Cloud
Barindra,Male,ocean
Barsaat,Male,Welcome rain
Barun,Male,Lord of the sea
Basant,Male,season of spring
Basdev,Male,fire
Batuk,Male,Boy
Bavyesh,Male,Lord of the world/ Shiva
Bhadra,Male,auspicious
Bhadrak,Male,handsome
Bhadrakapil,Male,Lord Shiva
Bhadraksh,Male,one with beautiful eyes
Bhadrashree,Male,Sandalwood Tree
Bhadresh,Male,Lord Shiva
Bhagat,Male,devotee
Bhagavaan,Male,the lord
Bhagesh,Male,Lord of richness
Bhagirath,Male,name of an ancient king
Bhagwant,Male,fortunate
Bhagyaraj,Male,lord of luck
Bhairav,Male,Lord Shiva
Bhajan,Male,adoration
Bhakti,Male,"devotion, prayer"
Bhalendra,Male,lord of strength
Bhanu,Male,sun
Bhanudas,Male,a devotee of the sun
Bhanumitra,Male,friend of sun / Planet Mercury
Bhanuprakash,Male,sun light
Bhanuprasad,Male,gift of sun
Bharadwaj,Male,a sage; a mythical bird
Bharat,Male,"India, universal monarch"
Bhargav,Male,Lord Shiva
Bhargava,Male,Lord Shiva
Bhartesh,Male,King of bharat
Bhartihari,Male,name of a poet
Bhaskar,Male,a name of Sun
Bhasvan,Male,bright
Bhaswar,Male,shining
Bhaumik,Male,lord of earth
Bhav-bhooti,Male,the universe
Bhavan,Male,palace
Bhavesh,Male,lord of the world
Bhawanidas,Male,devotee of Durga
Bheemsen,Male,sons of brave man
Bheru,Male,Friend
Bheesham,Male,strong
Bhim,Male,One of Pandavas
Bhishma,Male,Teacher of Kauravas
Bhoj,Male,"name of a poet king, meal"
Bholanath,Male,Lord Shiva
Bhoopat,Male,lord of the earth
Bhoopendra,Male,king of the earth
Bhooshan,Male,ornaments
Bhooshit,Male,decorated
Bhoumik,Male,land owner
Bhramar,Male,black bee
Bhrigu,Male,name of a saint
Bhudev,Male,lord of the earth
Bhuman,Male,Earth
Bhupad,Male,Firm
Bhupal,Male,king
Bhupati,Male,King
Bhupen,Male,king
Bhupendra,Male,king of kings
Bhupesh,Male,king
Bhushan,Male,ornament
Bhuvan,Male,the world
